{'topK': 25, 'shrink': 51, 'tversky_alpha': 0.8124063348128021, 'tversky_beta': 6.7297971145367015}
best = 0.14067279772604566
topK,shrink,tversky_alpha,tversky_beta,result
24.0,56.0,0.9237283947884942,6.33991860656946,0.14004563169213383
22.0,48.0,0.8761196427668513,6.651515710291164,0.13962483851677318
20.0,59.0,0.8536646151857051,6.160735212808658,0.13933959221822517
62.0,43.0,0.905870432331383,5.270767637073805,0.13535499276246452
17.0,53.0,0.7517135623752156,6.568683575902571,0.13893723652004045
29.0,46.0,0.6190130861223376,6.7598757141533845,0.1388754570981923
24.0,50.0,0.5504397746702655,5.540394220019236,0.13910204295144005
22.0,55.0,0.7894279164538056,6.495278741244521,0.13985927957373337
19.0,58.0,0.7301544643175762,6.303248175059654,0.1395005445057411
25.0,51.0,0.8150023540651632,6.439542137936676,0.1396429926866965
27.0,62.0,0.9282296316486016,6.656414421209888,0.1393893156246249
21.0,47.0,0.7062328780285309,5.826832645949375,0.1394752505291461
23.0,53.0,0.8907155010826366,6.581671442632907,0.1399894605858278
21.0,56.0,0.7434868262808453,6.378780969859427,0.1399191880912064
26.0,60.0,0.84560314879825,6.252205037977175,0.13911382750421275
47.0,50.0,0.9538621325919858,6.693637632085897,0.13850955409111065
18.0,48.0,0.7997316516079367,5.77997044587335,0.13947040851195636
24.0,57.0,0.9140350618988556,6.490875846840707,0.13998419345503704
23.0,53.0,0.8213579560013423,6.819737042364835,0.14015118516965708
22.0,52.0,0.8324188963394736,6.8613666070761825,0.13922474010801605
20.0,54.0,0.8656947654079766,6.811673074842548,0.14003385830580403
23.0,45.0,0.6772665836007372,6.116369097893989,0.1390461301137935
21.0,49.0,0.8251680087683378,6.0201220368717765,0.14020104251057747
20.0,50.0,0.8131405522296775,5.924376018305526,0.13967599427805022
18.0,130.0,0.8313788989533829,5.975470480543709,0.1380898299163265
22.0,54.0,0.85473068713728,5.668097543963836,0.13999836589396542
21.0,52.0,0.7959923372388611,6.568015268202288,0.13984771588136535
19.0,49.0,0.8180601498952759,5.882776238804142,0.13981851483472255
23.0,56.0,0.8744587177576095,6.916314423750381,0.14000810190632149
24.0,51.0,0.8432383861800767,6.050051740656559,0.13993361169355215
26.0,54.0,0.3718216279557319,6.425813773691353,0.1380163381538736
16.0,42.0,0.720176976900365,6.751273572150517,0.13927754198225714
21.0,58.0,0.7810867132428686,6.506670470466313,0.13946438390231086
23.0,47.0,0.8841972594868425,6.597566618479158,0.13943896499878672
19.0,60.0,0.013707080183268605,6.359182492636516,0.12965393541512393
25.0,52.0,0.7432093714730477,6.472078312109706,0.1402662696214815
28.0,56.0,0.7496483983620879,6.611511636053986,0.13927657310544375
21.0,52.0,0.8203720911824038,3.9002899793611463,0.13899808985737197
25.0,49.0,0.7944972424630867,6.027696950151514,0.13961979889156567
22.0,54.0,0.8527491744106366,6.492240972950974,0.13995688664810893
24.0,58.0,0.7643854230443039,5.7579418705876755,0.13972443407457993
31.0,45.0,0.9023421546098402,6.745221735931205,0.13860061898561907
17.0,49.0,0.6922843914841063,6.65729185288964,0.13927258259509678
20.0,62.0,0.8025096130856121,6.292935258561782,0.13926994736800322
27.0,52.0,0.7385596036000452,6.421331356089709,0.13977460809794368
23.0,55.0,0.8308949659583037,6.823943133629172,0.14010724591508708
25.0,60.0,0.2671921145623576,6.9469847100226145,0.13671363898357358
38.0,51.0,0.7780403159742107,5.3886364710826,0.13759974866784272
19.0,47.0,0.8632481458350275,6.557734414521548,0.1397705426691289
22.0,57.0,0.978077618584337,5.583636895234519,0.13977797451230917
24.0,53.0,0.706430740392947,6.377723780716571,0.1397374255448539
21.0,43.0,0.895165995153787,5.159421826154809,0.13963411176505072
26.0,49.0,0.753132203954881,6.495468406237469,0.14010700280383964
18.0,55.0,0.9408856653081721,5.421230661995382,0.13906234349826294
29.0,58.0,0.7843446303809724,6.169313695948565,0.13885529636621635
23.0,61.0,0.8731752062091556,6.656419559664897,0.13930876369675707
20.0,84.0,0.816887465826456,6.539817935962176,0.13920248268699303
22.0,46.0,0.7265055870883532,6.27732676505759,0.13886162494613402
25.0,51.0,0.9176985965258783,6.735363251832683,0.1392292641212298
16.0,54.0,0.6566004512669624,6.449711227441438,0.13918386498625518
21.0,48.0,0.7571488594246121,6.618524029091406,0.13934681658417417
27.0,56.0,0.8400466601437407,6.35014165206361,0.13898482990315145
23.0,50.0,0.7917122147034295,6.805877240041881,0.1399121744784949
24.0,53.0,0.7690944277454915,5.687314907929759,0.13972500007919483
19.0,60.0,0.4899049710923188,6.095347957953925,0.13904911936276243
22.0,45.0,0.6205813375641661,5.5369922288907265,0.13908249777209675
26.0,58.0,0.7374884600580219,4.562811945656357,0.13933901413391728
44.0,63.0,0.8890072914356926,5.873928027171045,0.13764773744030423
20.0,51.0,0.8517954390456177,6.550491654941783,0.13988228171658673
24.0,48.0,0.8112016092486116,5.474866030122346,0.1397778581963582
17.0,67.0,0.6795523694208535,6.220535158537901,0.1392205115554406
21.0,55.0,0.9508720448845714,6.436271972922444,0.13917813963060097
23.0,53.0,0.7116735121464528,5.251463264933698,0.13959076628053316
25.0,58.0,0.9982282023312848,6.677095455092265,0.13946184231259975
19.0,49.0,0.6494138190064359,6.014062944232181,0.13965265161227783
27.0,42.0,0.5643494257923383,6.595912386190455,0.13814184318088787
22.0,52.0,0.9021578146486047,6.485029833566646,0.14010185976995043
25.0,62.0,0.8718405001879964,6.3551903359347355,0.13920425462968727
20.0,56.0,0.8288469290598506,6.707787764400929,0.13990919301972632
23.0,46.0,0.7762684135405801,6.914406157195939,0.1388661139704965
30.0,50.0,0.8024121707959847,6.564901807218742,0.13809733460624496
1.0,91.0,0.9258660190089556,6.431371264046123,0.08795982752402012
18.0,60.0,0.6000586406498708,6.285894710868695,0.13907845488665216
21.0,53.0,0.7528225109907264,6.818654800048238,0.13926224682786043
26.0,44.0,0.7246704609684138,6.502670262096402,0.13993797693831092
24.0,57.0,0.9650486026398979,6.627356837957051,0.14000097639447828
22.0,47.0,0.8516987422813235,6.3774439126254805,0.14002121046788416
28.0,55.0,0.8786834930129988,6.162196468475307,0.1389768719258017
24.0,51.0,0.7662869573271065,5.928593995602055,0.13964768893952667
20.0,64.0,0.19247398788523734,6.737325035371933,0.13652739129334956
4.0,50.0,0.5837570163274144,4.99340770300846,0.12972718673737027
16.0,59.0,0.9140376958329288,5.806864024568884,0.13931957739859452
22.0,54.0,0.8273785539908994,6.528437646693541,0.14014642630704865
22.0,54.0,0.8303354570026886,6.47092930683034,0.1398789871616839
18.0,48.0,0.8043337610455473,6.982895476709282,0.13906775686542772
22.0,54.0,0.8456840602136846,6.3212680771739675,0.13994873550312315
20.0,52.0,0.43646005371866003,5.371370442842841,0.13887470789535733
21.0,56.0,0.8610843863428356,6.539803508977075,0.140042323146868
19.0,49.0,0.8202941449328813,6.221496985237142,0.1398344375380698
23.0,45.0,0.12086956994657111,5.326663631442938,0.1358653845544354
26.0,52.0,0.8885751372007946,6.398457460302877,0.139483835160284
21.0,47.0,0.7910970186463683,5.177800464376843,0.13937991137945724
18.0,56.0,0.8321800150636386,6.531401652592865,0.1397310674670071
25.0,50.0,0.8097278659044931,5.071668958736681,0.13931083846162026
23.0,54.0,0.8993212149181559,5.739335736562186,0.13933403386202825
23.0,52.0,0.8699701856678883,6.108189185973796,0.13999816731628492
15.0,57.0,0.7749655103912624,6.447681770529532,0.13910667747113425
20.0,41.0,0.6414575001146257,6.604793298844465,0.13914732852720865
35.0,49.0,0.9501617126040675,6.294812421384256,0.137511306790376
25.0,44.0,0.5282893862009463,6.38647642427025,0.1385983787391944
27.0,53.0,0.24441763416409995,6.67967165764447,0.13647663291166934
22.0,59.0,0.8458192552235189,6.530378048461809,0.1398809062860475
17.0,47.0,0.9221607441967316,6.782937548575306,0.1395357423666203
19.0,55.0,0.79269507989103,6.878383136029579,0.13996392300612426
24.0,51.0,0.7488448777372602,5.287978242076205,0.1397675841471097
