Trial,SLIM_w,RP3b_w,ItemKNN_w,Accuracy_val,Accuracy_test
59,0.44701232755866177,0.29106965903752907,0.2619180134038092,0.07866938022934858,0.0950914240482013
60,0.4653899611886097,0.3054018130413174,0.22920822577007288,0.07861148629093193,0.0950606040214944
61,0.49173847301929186,0.2968873098560301,0.21137421712467813,0.07862797932564854,0.09508274509610193
62,0.41245616165344495,0.262986048711473,0.324557789635082,0.07829924839634968,0.09496571993559316
63,0.4979317582401178,0.2253958741932987,0.2766723675665834,0.0785595615989879,0.09515134804600668
64,0.4801565722626419,0.27638197787183194,0.24346144986552615,0.0787373245094183,0.09516026297429285
65,0.41971301619062806,0.28197124407193325,0.2983157397374387,0.07856880517237287,0.09501931800350086
66,0.3984011882050342,0.38772002530267746,0.21387878649228834,0.07825320754764434,0.09479701753417283
67,0.45007351010190844,0.27989175741243216,0.27003473248565946,0.07870625145463066,0.09512410909675598
68,0.3749851406860728,0.3446283241508695,0.28038653516305767,0.07840209131676426,0.09477191015722823
69,0.5251169205696077,0.2477584247290343,0.22712465470135806,0.07849901364163364,0.09522650056385386
70,0.5508527260529513,0.26853396367752486,0.18061331026952374,0.07849482362563975,0.09495880272410953
71,0.47768059836125304,0.26284200496991417,0.25947739666883274,0.0787168852570562,0.09511679612661898
72,0.49172845324977904,0.24446835738629918,0.2638031893639217,0.07862774163670046,0.09514955766535571
73,0.43748687893357685,0.2918174954311094,0.2706956256353138,0.07865381909910268,0.0951223216441783
74,0.5108908475138507,0.2608367610126487,0.2282723914735006,0.07852785514023584,0.09527544226694469
75,0.41123572980412826,0.2593975756128143,0.3293666945830575,0.0783369155698847,0.0949018097196636
76,0.3552378254617843,0.2754254803596166,0.36933669417859905,0.07824091209648366,0.09469962793158294
77,0.48187874282853704,0.23558610829866447,0.28253514887279846,0.07859736560876035,0.09518093666113467
78,0.4753626781472965,0.3054349748425276,0.219202347010176,0.0785922803642257,0.09510022968512491
79,0.5265693769439862,0.2497888467740492,0.22364177628196477,0.07848262104080538,0.09520978093353966
80,0.4756082515856384,0.2629878103783234,0.26140393803603806,0.07869723488712169,0.09512318116151186
81,0.4739105810452258,0.26340175020270634,0.2626876687520678,0.0786884464172409,0.09512409655789292
82,0.47292601483297425,0.3004302527571096,0.22664373240991614,0.0786068596451375,0.09510270107206814
83,0.45188326760176717,0.3034985494477197,0.24461818295051324,0.07860666006863135,0.09503166843053741
