First optuna run.
Version 5 of notebook XGBOptuna (Federico)
best -> 0.06581986324568043 and parameters: {'cutoff': 126, 'n_estimators': 143, 'learning_rate': 0.05382819480164889, 'reg_alpha': 27.94649085796498, 'reg_lambda': 1.5570444597506696, 'max_depth': 8, 'max_leaves': 5}
cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,result
148.0,133.0,0.08525419557870066,67.66261959631443,12.586035655157044,4.0,5.0,0.06535538706469746
147.0,132.0,0.08623009227043353,66.43771299134755,11.899769781614372,3.0,7.0,0.06486169170204341
127.0,133.0,0.03771236349767283,29.51156747737315,6.354029039936254,4.0,5.0,0.06508852244060113
329.0,147.0,0.052170344157306245,50.94471428298976,1.639394114393085,4.0,6.0,0.06521521647099092
220.0,87.0,0.028417833865978563,96.92235106380377,28.410489084392026,8.0,1.0,0.02907166940038288
164.0,142.0,0.008380319464243625,42.57737115881284,51.21603205292159,3.0,4.0,0.06194500646304104
373.0,107.0,0.08453920031253116,66.82047987079689,0.9805618667162425,7.0,5.0,0.06486139837419151
99.0,138.0,0.06406314012775897,20.743862145082367,4.419972228268623,5.0,5.0,0.06531575953528669
93.0,127.0,0.05288353273887951,28.222145254043046,1.500488521135739,5.0,5.0,0.06518555341049989
123.0,148.0,0.0888404627360165,7.453143099733626,10.672884000047786,4.0,6.0,0.0644484849628772
143.0,136.0,0.045064930828460054,23.034566316683392,3.045891323318197,6.0,5.0,0.06505703301278976
69.0,143.0,0.07228844196877392,41.30823509117915,15.670039073641183,5.0,3.0,0.06525037283388362
97.0,144.0,0.05685517523209273,19.496838252383423,5.412838888393801,9.0,4.0,0.06532928123102234
48.0,144.0,0.03694621976787569,72.85735488235282,2.328557848230781,9.0,4.0,0.06463799940878809
118.0,51.0,0.023159652712438705,31.56789544241155,6.683964932828063,10.0,4.0,0.06430584104358082
159.0,150.0,0.05409140574666218,56.6223147751859,0.4772723732048809,9.0,2.0,0.06174760906326271
192.0,130.0,0.09995140092808104,5.453012922108458,0.9488913534858557,8.0,0.0,0.06193468290705323
93.0,140.0,0.0659491004896178,20.808217760170084,4.832706194125366,9.0,4.0,0.06568986596927233
83.0,140.0,0.030022963535082322,10.709999767764943,5.875380776057245,8.0,4.0,0.06371600504907163
131.0,134.0,0.04419313210224143,18.30276350547804,1.400842081291432,9.0,3.0,0.06413136325360916
112.0,147.0,0.07619966410800029,97.55405384952675,3.2697100790712534,10.0,5.0,0.06558614118448854
139.0,147.0,0.0763529752050173,97.19816439511946,8.67848117308384,10.0,4.0,0.06496979433146798
111.0,144.0,0.06814732565091186,41.33507897546904,3.0840524124856428,9.0,4.0,0.06561020194104758
112.0,148.0,0.06866140982984925,39.676453823256765,3.14881669494261,10.0,9.0,0.06560618310129668
112.0,148.0,0.07005665978330253,44.74319347876436,3.1953477675351047,10.0,10.0,0.06567985878398072
74.0,146.0,0.07197856824487796,44.35476370733693,3.4309071473653265,10.0,10.0,0.06553196878800992
60.0,64.0,0.06864695556985487,1.1767293351934085,3.0836738233861944,10.0,10.0,0.05714627297338732
71.0,146.0,0.04767622374245183,44.06550124059167,3.2713920253741007,10.0,9.0,0.06576695661139507
112.0,145.0,0.04571792860713938,43.40154423734275,3.4579948416721042,10.0,9.0,0.06552819513595966
112.0,145.0,0.03979042830388973,39.84094560548097,3.5569929069307067,10.0,9.0,0.06580238662861243
75.0,148.0,0.03488763645978312,33.835109199122535,5.317067706130611,10.0,9.0,0.06537240524091976
42.0,142.0,0.07446912820274555,27.13209043504307,2.560089037147744,10.0,10.0,0.06484923597619033
107.0,141.0,0.039378592211292286,45.48534816126441,0.011302607083195342,10.0,10.0,0.06546378068810525
56.0,145.0,0.00443076821892483,34.766476589077456,7.554188420697055,10.0,9.0,0.06288307164550914
68.0,149.0,0.04956596389622818,51.60083851348292,4.565873328928476,9.0,8.0,0.06472231173101814
82.0,148.0,0.027339134926407504,13.28624496378506,2.2946309071744624,10.0,10.0,0.06447678944880421
