{'topK': 180, 'alpha': 0.37856296613742724}
topK,alpha,result
190.0,0.3703295785632652,0.14265309322767114
184.0,0.4104153459153892,0.1423414100581432
193.0,0.39693380140183665,0.1426857565053729
176.0,0.387978820015937,0.14206755931020482
182.0,0.3763004769301345,0.1428880256403933
180.0,0.37687861717634336,0.14302046405798044
178.0,0.3740323043452617,0.14300791967349127
174.0,0.36884196988497364,0.1419689529864011
179.0,0.37466678676468673,0.14298435438283547
179.0,0.36182308376895367,0.1424936389482863
177.0,0.3747721615780937,0.14282873208276095
182.0,0.3770245440880817,0.14289560018604175
185.0,0.3759592842664398,0.1425577018302971
182.0,0.36759892655077997,0.1425206067085501
173.0,0.35512300940367053,0.1420777350930635
178.0,0.37626217028258513,0.14300259702897342
177.0,0.37676298356518034,0.1425912664973802
171.0,0.36212917971509045,0.14169661427181854
185.0,0.16777078815676263,0.14078295417594883
179.0,0.3698608233343447,0.14268734037224304
167.0,0.37906108607563743,0.14142145400246411
183.0,0.3833087660322885,0.14290186984717862
175.0,0.359168192286838,0.14239712362177817
182.0,0.37598778509081104,0.14285612911889164
178.0,0.3509000507855247,0.14212482877652383
183.0,0.3809698264481851,0.1427235860326517
172.0,0.3673054202048379,0.14169145107494058
186.0,0.5871193825165989,0.1393339436182528
180.0,0.4005422169203864,0.14241757973296992
184.0,0.5047551116181567,0.1408971131661492
196.0,0.3836873352073836,0.14256605546603657
177.0,0.3702004614627431,0.14264748523997567
191.0,0.38027606954743554,0.14282575219841712
181.0,0.3395890356740921,0.14194061532829846
186.0,0.38785680333973527,0.1429550017092235
188.0,0.5663472495574301,0.139465614039771
193.0,0.4012569911648249,0.14272227694668832
187.0,0.3637227235070161,0.14256219165218995
169.0,0.3909874993280832,0.14177800264173507
174.0,0.3749194902626602,0.1421937600366576
184.0,0.407279492367666,0.14260890894400072
190.0,0.38681082319577975,0.14290835163521637
198.0,0.3971168344732201,0.14274719176894815
179.0,0.3549029246760149,0.1423978688221268
193.0,0.38291352562238695,0.14255273031840543
190.0,0.37063493595694674,0.14264430124595845
184.0,0.3849275031215297,0.14271952775944446
177.0,0.41353207306971523,0.1417657801858465
181.0,0.39459058826185717,0.14261405345162897
188.0,0.4787264927874767,0.14096094906316134
173.0,0.3761751173891546,0.1422006587821897
143.0,0.36455287178024637,0.14093121010922344
