best -> topk = 21.0, alpha = 0.44678187654885787, beta = 0.18590730821636287, accuracy = 0.039264156656909785
topK,alpha,beta,result
25.0,0.4430427444072148,0.17971644042062432,0.03918007309245883
24.0,0.4407057777233727,0.18421771116466346,0.03914645889310325
24.0,0.44215545190147765,0.18350635791490652,0.03916539291602435
24.0,0.4440937072447573,0.18546822091715254,0.03909823261090098
23.0,0.44257866555463155,0.18709357201538515,0.03920381372157947
14.0,0.4721518791825279,0.2087043506098439,0.03841186526762437
23.0,0.45434386759129153,0.18746891371400676,0.039190142932446916
21.0,0.4545622938857095,0.18771764011289482,0.03916746376219528
20.0,0.4562146290076903,0.1891709756694491,0.038898377930628406
6.0,0.4685111537841034,0.21553287868996948,0.03356854460770934
14.0,0.4424775531124288,0.19886665268800163,0.0384695485475243
20.0,0.46116037476819993,0.18516326314812437,0.038871949607541145
81.0,0.4921055181189624,0.22165187598470473,0.037242325852652344
24.0,0.4540127987716222,0.2004310906321652,0.038937776079444125
37.0,0.43773805889941364,0.17453101086589726,0.03868356669406479
23.0,0.44535013075942376,0.2087813559269105,0.03919766126564403
29.0,0.44247716418235433,0.21264399350226432,0.038748055327242216
10.0,0.4786118765720749,0.1902372436545496,0.037009033215251556
16.0,0.43283068770343763,0.20495027869950336,0.03887931172603679
22.0,0.462233479548115,0.23061063722531933,0.03886480378632442
101.0,0.44876413006925764,0.17975160320533465,0.03692629149503124
164.0,0.4868406594913727,0.190788108545065,0.03457608136623022
32.0,0.44826582683315136,0.17576178092857525,0.03893133522713666
27.0,0.42964826649896787,0.19592632345103042,0.03892321606816459
22.0,0.4705653230478349,0.1850750350834613,0.039116021059344475
19.0,0.4735745542336319,0.18320422762257332,0.03882808131495985
13.0,0.4616866577351828,0.2121328224884567,0.038193092586451344
35.0,0.499720050778757,0.20203595301560878,0.03867791893178029
23.0,0.44323212330107786,0.16683280961917668,0.03911072177600957
21.0,0.47153928028424386,0.16896245035346902,0.038984344082507505
23.0,0.4431775043999847,0.22229800942794442,0.03897912891478096
16.0,0.48486736936756664,0.18724103059233135,0.03868162402405914
28.0,0.4524685835629506,0.162625811704478,0.03888571252329252
30.0,0.4357585738600448,0.18217288857702957,0.03891586997168958
24.0,0.4588782385523325,0.1740843717901664,0.0391074412672783
23.0,0.4577693008064533,0.175422046837474,0.03916259306791307
23.0,0.46136578958650926,0.19499802695921145,0.03913907274157651
4.0,0.46735660455672,0.17169195938102935,0.027576829594594808
18.0,0.4795293201917743,0.1976218656526562,0.038843710796118695
112.0,0.45709533679102754,0.20561240043353138,0.03644543861082729
8.0,0.4624307876705607,0.16520873286021667,0.0356480787193925
23.0,0.4472461013389393,0.17641850114917207,0.039189674288342476
23.0,0.446187282167215,0.23398727878908954,0.03886498803956203
13.0,0.4742915645652073,0.1754937486504975,0.03780438634859804
23.0,0.45033294114696465,0.19135889383767477,0.039216911723473274
23.0,0.4597269884035796,0.1919145919184211,0.039179051688641324
19.0,0.48837033649803596,0.19107619106134932,0.03879934982640196
16.0,0.45770602137993444,0.20869092007429862,0.03871618752813913
22.0,0.4694936429204505,0.19248727927853365,0.03902274486053682
28.0,0.4531384640542661,0.22226721592297646,0.038657474833411594
11.0,0.4365515586059357,0.19718464686871015,0.0376566673235701
33.0,0.4826673840218641,0.1832333168566192,0.038774615831999884
25.0,0.46697343562779736,0.16625431916374533,0.03911965805803543
24.0,0.465531055706603,0.16050934406952203,0.03907127556113182
18.0,0.45223457389074717,0.16758612887589508,0.03881666562523591
26.0,0.43661815818665417,0.178444256141302,0.039084738063995664
22.0,0.47433162780984417,0.1883555640156272,0.0390208662786138
30.0,0.45795405867764494,0.20250823689337352,0.0387860595602601
15.0,0.44734400508795985,0.21320237666625055,0.03866203309829077
20.0,0.4283387885435952,0.15874682580053243,0.03895665001978775
27.0,0.46570059758827964,0.1719361765752095,0.03895064176203826
34.0,0.44236846089606785,0.18373602980890635,0.03874674953255805
37.0,0.4922767566416282,0.1989098380944181,0.03864587088494478
23.0,0.44795449619507,0.1765038139485932,0.039147139828981506
24.0,0.4219776027872554,0.1739310014491127,0.03915386106665057
19.0,0.45668448486458735,0.18949823579273745,0.038949752539891316
22.0,0.4213308646121254,0.17693600591830502,0.03909349009278411
29.0,0.44201041662416785,0.1548780629439089,0.03890023648502554
13.0,0.4787251636285951,0.16416261195745963,0.037634833314908626
25.0,0.43370727809418025,0.1938582179544775,0.03904118620632252
30.0,0.45147862055297866,0.180003523949178,0.0389418857277447
