best -> topk=21.0,alpha = 0.4029792567152519,beta = 0.19680626151757433,accuracy = 0.03931838484259118
topK,alpha,beta,result
21.0,0.46847369915526116,0.2096404917572232,0.03890454578200468
21.0,0.4070372179586774,0.1981200316500646,0.039250698396689904
21.0,0.40458128005070226,0.19723389286083004,0.03928635865171474
21.0,0.43870862348604656,0.19562235816627108,0.03908006947946486
21.0,0.4521591986193601,0.19469253130984598,0.03900680786686887
21.0,0.44623963433873304,0.19633460528586194,0.03903830175539753
21.0,0.4011956006050157,0.19772774174935673,0.03925628957247777
21.0,0.40975485473585876,0.1993021210417545,0.03916615837795923
21.0,0.42493492318829074,0.19402850910324468,0.03910949419270196
21.0,0.4194613505830464,0.2020236697974242,0.039068078668684364
21.0,0.4063543811282718,0.1961825907302964,0.039274840109182585
23.0,0.4031256546385935,0.19710817849046242,0.039115405550353186
22.0,0.40517174650557053,0.1953551046271542,0.03917923380480172
21.0,0.4794839206066901,0.1866840351293018,0.03886684036532795
21.0,0.41471759509254186,0.19821882670644625,0.03917632014984567
20.0,0.46324789561306245,0.18741487478403104,0.03885127552449844
21.0,0.4013133401140649,0.193313131433202,0.039187522512787835
21.0,0.4115546615412171,0.1967715772941679,0.039182967925782373
21.0,0.4035137139112496,0.20070810162755814,0.03918961970399243
27.0,0.44757681858853543,0.1946401800410014,0.03891919410225063
28.0,0.40761513478397365,0.19897782358347396,0.03888470651330008
21.0,0.4058187721315853,0.19572112572512293,0.03924183336134981
