topK,alpha,result
32.0,0.24928263801682268,0.03859972123405986
32.0,0.2564587946045077,0.03860778256256681
31.0,0.24971153779519167,0.038652389913858255
30.0,0.24978102841193664,0.03846499903184087
33.0,0.2766574107122796,0.038520292144146
31.0,0.2636636903107192,0.038551157230712056
32.0,0.23893888917262424,0.03862480536792515
31.0,0.25622412083515095,0.03860693442279332
30.0,0.24725853690375893,0.038518475844819634
31.0,0.24027317503369133,0.03857606133490843
31.0,0.23425602951738672,0.038565391576532215
32.0,0.24791627256306847,0.038614863729543106
30.0,0.25576622204490773,0.0384746766267085
47.0,0.24176576814414202,0.03797090160458484
31.0,0.2707922067806465,0.03850897827962096
32.0,0.23044792326198577,0.03859278809147796
32.0,0.251711564160183,0.03860105745426896
31.0,0.26180458513721294,0.038563055191496
30.0,0.2444570675311533,0.03854181569122631
31.0,0.23879459513758416,0.038576177354028365
31.0,0.24538073280366826,0.03862427328023702
31.0,0.25486814152778225,0.03864211622075361
30.0,0.2543325127381334,0.038474852655718095
32.0,0.2612511941774685,0.03859525249761213
31.0,0.24994482613196842,0.0386576347782119
33.0,0.250644572831846,0.03849110733448924
29.0,0.26796569370056506,0.03840119651718647
32.0,0.2609589635145918,0.03859883708835268
31.0,0.24781142824072186,0.03864955344640839
31.0,0.2508207786946541,0.038662851637950385
30.0,0.25433400435345016,0.038474852655718095
31.0,0.23601989742175924,0.03859373624773405
30.0,0.24520245993155484,0.03852538898410498
32.0,0.4300060045370434,0.038214969827027975
31.0,0.25659286628482036,0.03859384426553541
30.0,0.2494530716184745,0.0384655231182103
32.0,0.23720097157426978,0.03863164249468365
33.0,0.2649043098561509,0.03851298293958905
31.0,0.25018704474792813,0.03865906301358509
