collaborative item-item + log/outliers + hyper_param 4 optmization
range: topK: [5, 60], shrink: [50, 250], asymmetric_alpha: [0.25, 0.35, log=False] 
best -> similarity: asymmetric, accuracy: 0.08269473320523577 topk: 28, shrink: 152, asymmetric_alpha: 0.27865510251072656
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
128,0.08300861343338221,,20,197,0.2733207078053737,,,,,
129,0.08300948438966492,,22,181,0.26863331762478,,,,,
130,0.08347531706273213,,24,193,0.276601774916733,,,,,
131,0.08363335952043294,,26,158,0.2800141497171126,,,,,
132,0.08350366587861072,,25,156,0.2797167354712022,,,,,
133,0.08337500162965095,,28,186,0.27472256388760113,,,,,
134,0.08348928265719435,,26,177,0.28209963375685043,,,,,
135,0.08345978758771369,,23,168,0.27814430412148944,,,,,
136,0.08361861712128106,,25,180,0.2758893653954442,,,,,
137,0.08322778152167583,,30,195,0.2803321430827431,,,,,
138,0.08363132863225486,,24,156,0.28290669052134143,,,,,
139,0.0829621485100096,,18,172,0.27131953990072444,,,,,
140,0.08324995495355654,,24,158,0.2771300632196212,,,,,
141,0.08364974459390458,,27,154,0.28235062593544025,,,,,
142,0.08312862661135248,,26,210,0.28048385488307237,,,,,
143,0.08327594177678765,,21,156,0.28321944545202893,,,,,
144,0.08351753579317338,,23,163,0.28623747192582133,,,,,
145,0.08380286979365668,,25,166,0.27908484153120955,,,,,
146,0.08376709371001621,,28,153,0.2811267912992662,,,,,
147,0.08365423739818827,,29,153,0.27980286786092784,,,,,
148,0.08389338580233512,,28,152,0.27865510251072656,,,,,
149,0.08366490712710345,,29,153,0.2782433056867351,,,,,
