collaborative item-item + hyper_param 3 optmization
range -> similarity = "tversky", topK = [15, 90], shrink = [20, 50],tversky_alpha = [1.6, 1.95] tversky_beta = [2.8,3.5]
best -> {'topK': 22, 'shrink': 24, 'tversky_alpha': 1.60056884868048, 'tversky_beta': 3.47610354638236, 'result'= 0.0872605756877479
accuracy,topK,shrink,tversky_alpha,tversky_beta
0.08618962798858278,19,25,1.6488309854690506,3.12708831640175
0.08700989604195936,21,23,1.6326290534274766,3.4867244100885264
0.08683466413774828,23,26,1.6213937684621123,3.431126077805108
0.08712797188588775,22,22,1.6057573869011614,3.4997042842211
0.08707508455413411,23,22,1.6060445519624664,3.4905950578044287
0.08710554280905737,21,21,1.613041867467954,3.472425223286436
0.0865900052083954,24,24,1.75649473214449,3.499373199212698
0.08678417287768275,18,23,1.6003138480447443,3.4525500945555017
0.08676793829095966,27,22,1.6258386213226996,3.4725592018378593
0.08687501234222429,19,24,1.6800908006731525,3.4852209281698756
0.08710532311576873,22,22,1.6162813787087054,3.4999982994840417
0.08674025366233121,25,25,1.6075308004857707,3.4621864031044214
0.08651957245722802,20,23,1.6987578303896347,3.395487734113494
0.08716342586850369,22,23,1.6098494237122296,3.463022595948783
0.08672901631117183,23,23,1.6178620209535752,3.3651556258243502
0.08700288190624701,21,25,1.6107872809311128,3.4446056624532853
0.08429088508165472,76,23,1.6637378793982016,3.482170343317657
0.08682834128666471,17,24,1.6000148632518965,3.4682417628540794
0.08667012423583044,26,21,1.6288440758181657,3.4532006050648585
0.0853335640124766,52,22,1.7777048387464844,3.4863837497256243
0.0864843070877624,19,24,1.7135603943145936,3.4318391258896694
0.08687971735021364,24,26,1.6211707919263383,3.476783476586507
0.0871744311537591,22,23,1.6127035962432477,3.4650712766333363
0.087144207049369,22,23,1.6119072871364581,3.4627920179351
0.0870585620798397,23,23,1.6110752057499231,3.4999356453854515
0.08711777887442917,22,22,1.60608304107471,3.461589827740891
0.08685510726685304,20,21,1.6139911791916588,3.4428474653385575
0.08699941960444375,22,23,1.6039286233649497,3.4199312491690197
0.08654786728948337,24,24,1.6176594607381796,3.1732150712859086
0.08714076781754898,21,22,1.6003356867411143,3.4704320453447557
0.08688042412298609,19,20,1.6003042798703557,3.3522315027313088
0.08646291306182291,16,22,1.6137329296731238,3.4545584285154396
0.08663971755645969,25,25,1.6320605082286792,3.4750619618188683
0.08616182828076245,21,23,1.6073216890087036,3.0980331968049675
0.08704059723670927,23,22,1.6107670695611298,3.4637204165248843
0.08710701690041858,21,24,1.6244085776911805,3.488709731512017
0.08637705121147195,18,23,1.8036866150903597,3.474105694650468
0.0871372606171976,22,22,1.6059851497619155,3.488545617013179
0.08674816691104856,25,21,1.6197004095574417,3.4993478347317395
0.08626356021274507,20,21,1.745666230204306,3.4427369423728833
0.0870686875251105,23,22,1.604870524422922,3.486244652785243
0.08696125120160829,20,23,1.6142572506826398,3.4575927674309
0.08682927454612935,28,22,1.6255465777791627,3.487276922179947
0.0871138217362927,22,23,1.6056622647033876,3.4673035478017975
0.08726057568774799,22,24,1.6005688486804868,3.4761035463823666
0.08658093384514658,18,24,1.6127894247267716,3.2603894201123285
0.08666104280121066,24,24,1.601329251373327,3.315978724685895
0.08706970895429944,21,25,1.618809299976227,3.4775286964035104
0.08674312751662121,26,22,1.6100798414655715,3.4988260814154155
0.08724886931279285,22,24,1.6000200055945966,3.4766329834444596
0.08715595027840746,19,24,1.6006953007524034,3.481021909714274
0.0871724485367408,19,25,1.600407344965561,3.4823481745394957
